full_text,case_folding,preprocessing,final_label,label,confidence
11 pekerja kilang sesak nafas kerana tumpahan kimia https://t.co/zd7PceL4Hd,11 pekerja kilang sesak nafas kerana tumpahan kimia https://t.co/zd7pcel4hd,kerja kilang sesak nafas rana tumpah kimia,negative,,
Sidang perdana kasus dugaan korupsi tata kelola minyak mentah dan produk kilang PT Pertamina (Persero) yang digelar hari ini Kamis (9/10/2025). https://t.co/jdFqduQJxx,sidang perdana kasus dugaan korupsi tata kelola minyak mentah dan produk kilang pt pertamina (persero) yang digelar hari ini kamis (9/10/2025). https://t.co/jdfqduqjxx,sidang perdana duga korupsi tata kelola minyak mentah produk kilang pt pertamina persero gelar kamis,neutral,,
#Perak : Seramai 11 pekerja sebuah kilang di Bandar Proton City Tanjong Malim kira-kira 133 kilometer dari Ipoh mengalami sesak nafas dan pedih mata selepas terdedah kepada tumpahan bahan kimia jenis isosianat tengah hari tadi. Pemangku Penolong Pengarah Operasi Jabatan Bomba https://t.co/a26i3hdVt2,#perak : seramai 11 pekerja sebuah kilang di bandar proton city tanjong malim kira-kira 133 kilometer dari ipoh mengalami sesak nafas dan pedih mata selepas terdedah kepada tumpahan bahan kimia jenis isosianat tengah hari tadi. pemangku penolong pengarah operasi jabatan bomba https://t.co/a26i3hdvt2,perak serama kerja kilang bandar proton city tanjong malim kilometer ipoh alami sesak nafas pedih mata lepas dedah tumpah bahan kimia jenis isosianat mang tolong arah operasi jabat bomba,negative,,
Pada ga sadar ya kilang terbaru yang beroprasi itu buatan tahun 1998 masih pakai standar Euro2?,pada ga sadar ya kilang terbaru yang beroprasi itu buatan tahun 1998 masih pakai standar euro2?,sadar kilang baru beroprasi buat pakai standar euro,negative,,
Patah pinggang cod 7 kilang hari ni,patah pinggang cod 7 kilang hari ni,patah pinggang cod kilang ni,negative,,
Kilang nyamuk terbesar dunia dibuka di Brazil #MediaPermata #BeritaBrunei #Dunia #Kilangnyamuk #terbesardunia #dibuka #di #Brazil https://t.co/LLFuwAI2xX,kilang nyamuk terbesar dunia dibuka di brazil #mediapermata #beritabrunei #dunia #kilangnyamuk #terbesardunia #dibuka #di #brazil https://t.co/llfuwai2xx,kilang nyamuk besar dunia buka brazil mediapermata beritabrunei dunia kilangnyamuk terbesardunia buka brazil,neutral,,
@mardigu024 Makanya punya kilang minyak dijaga udah jumlahnya cuma sedikit kebakaran terus️️ giliran stock menipis ketar - ketir main oplos rakyat lagi yang boncos harus menelan resiko kendaraan sering mogok.,@mardigu024 makanya punya kilang minyak dijaga udah jumlahnya cuma sedikit kebakaran terus️️ giliran stock menipis ketar - ketir main oplos rakyat lagi yang boncos harus menelan resiko kendaraan sering mogok.,kilang minyak jaga bakar gilir stock tip ketar tir main oplos rakyat boncos tel resiko kendara mogok,negative,,
anda bertanggungjawab ~ membina kilang pemprosesan minyak mentah~ yang menghasilkan petrol~ diesel~ etanol~ methane~ LPG~ biji plastic~ minyak tar@ membuat jalan~ menganalisis pemintaan &amp; penawaran didalam negeri~ harga &amp; bekalan~ jangan ada sesiapa menekan anda~ atau anda mndur https://t.co/xCmQ89T6sW,anda bertanggungjawab ~ membina kilang pemprosesan minyak mentah~ yang menghasilkan petrol~ diesel~ etanol~ methane~ lpg~ biji plastic~ minyak tar@ membuat jalan~ menganalisis pemintaan &amp; penawaran didalam negeri~ harga &amp; bekalan~ jangan ada sesiapa menekan anda~ atau anda mndur https://t.co/xcmq89t6sw,bertanggungjawab bina kilang pemprosesan minyak mentah hasil petrol diesel etanol methane elpiji biji plastic minyak tar jalan analis minta amp tawar dalam negeri harga amp bekal siapa tekan mndur,neutral,,
Makanya punya kilang minyak dijaga udah jumlahnya cuma sedikit kebakaran terus. giliran stock menipis main oplos ga sesuai standar dunia.,makanya punya kilang minyak dijaga udah jumlahnya cuma sedikit kebakaran terus. giliran stock menipis main oplos ga sesuai standar dunia.,kilang minyak jaga bakar gilir stock tip main oplos sesuai standar dunia,negative,,
11 pekerja sesak nafas bahan kimia tumpah di kilang https://t.co/aEj1lU9Za8,11 pekerja sesak nafas bahan kimia tumpah di kilang https://t.co/aej1lu9za8,kerja sesak nafas bahan kimia tumpah kilang,negative,,
Pertamina Rampungkan Pembangunan Dua Tangki Kilang Lawe-lawe Berkapasitas 2 Juta Barel https://t.co/qiOnVIYV7D,pertamina rampungkan pembangunan dua tangki kilang lawe-lawe berkapasitas 2 juta barel https://t.co/qionviyv7d,pertamina rampung bangun tangki kilang lawe lawe kapasitas juta barel,positive,,
11 pekerja sesak nafas bahan kimia tumpah di kilang https://t.co/qh9jwNLaQ6,11 pekerja sesak nafas bahan kimia tumpah di kilang https://t.co/qh9jwnlaq6,kerja sesak nafas bahan kimia tumpah kilang,negative,,
Seramai 11 pekerja mengalami sesak nafas dan pedih mata selepas berlaku kebocoran bahan kimia berbahaya di sebuah kilang di sini pada Khamis. https://t.co/99Sk7Ed1U2 #sesaknafas #kebocorankimia #kilang #mediatelus,seramai 11 pekerja mengalami sesak nafas dan pedih mata selepas berlaku kebocoran bahan kimia berbahaya di sebuah kilang di sini pada khamis. https://t.co/99sk7ed1u2 #sesaknafas #kebocorankimia #kilang #mediatelus,serama kerja alami sesak nafas pedih mata lepas laku bocor bahan kimia bahaya kilang khamis sesaknafas kebocorankimia kilang mediatelus,negative,,
@toe_giman Walaupun diupgrade @pertamina kilang ini kilang itu katanya Over Kapasitas dgn kualitas RON ini itu Tetap aja Rugi padahal Harga export krud oil sangat murah lalu Pembelian (import) dari Singapure lebih mahal dan di jualnya Ke Rakyat Paling Mahal..? kan Bangsat https://t.co/7eRt4cRPGi,@toe_giman walaupun diupgrade @pertamina kilang ini kilang itu katanya over kapasitas dgn kualitas ron ini itu tetap aja rugi padahal harga export krud oil sangat murah lalu pembelian (import) dari singapure lebih mahal dan di jualnya ke rakyat paling mahal..? kan bangsat https://t.co/7ert4crpgi,diupgrade kilang kilang over kapasitas kualitas ron aja rugi harga export krud oil murah beli import singapure mahal jual rakyat mahal bangsat,negative,,
11 pekerja cedera akibat tumpahan bahan kimia di kilang https://t.co/s7i7xg8cPY,11 pekerja cedera akibat tumpahan bahan kimia di kilang https://t.co/s7i7xg8cpy,kerja cedera akibat tumpah bahan kimia kilang,negative,,
Mr lee suruh beli kilang dia 4.5juta ,mr lee suruh beli kilang dia 4.5juta ,mr lee suruh beli kilang juta,neutral,,
@cnbcindonesia gaya mu cuy bicara potensi potensi ke niat aje nge bangun noh lihat si kunyuk bahlil malah tersinggung saat dikomentarai pertamina gax mau bangun kilang Bubarkan Golkar korupsi turun sikitlah ,@cnbcindonesia gaya mu cuy bicara potensi potensi ke niat aje nge bangun noh lihat si kunyuk bahlil malah tersinggung saat dikomentarai pertamina gax mau bangun kilang bubarkan golkar korupsi turun sikitlah ,gaya mu cuy bicara potensi potensi niat aje nge bangun noh lihat si kunyuk bahlil singgung dikomentarai pertamina gax bangun kilang bubar golkar korupsi turun sikit,negative,,
Brazil buka kilang nyamuk terbesar dunia https://t.co/ja7oytmuNZ,brazil buka kilang nyamuk terbesar dunia https://t.co/ja7oytmunz,brazil buka kilang nyamuk besar dunia,neutral,,
@shda_agatha_ dan Paksa SHELL CHEVRON VIVO dll Bangun Kilang Sendiri di Indonesia.,@shda_agatha_ dan paksa shell chevron vivo dll bangun kilang sendiri di indonesia.,paksa shell chevron vivo bangun kilang indonesia,neutral,,
aku cakap ah gaji takbesar cukup2 makan saja. u kerja apa uncle? dia jawab i owner kilang perabot sana bandar tek. aku cakap lagi u owner meh? kasi tips banyak sikit la. u lagi kaya. astu dia gelak je. kiwak bagi la tip,aku cakap ah gaji takbesar cukup2 makan saja. u kerja apa uncle? dia jawab i owner kilang perabot sana bandar tek. aku cakap lagi u owner meh? kasi tips banyak sikit la. u lagi kaya. astu dia gelak je. kiwak bagi la tip,cakap ah gaji takbesar makan u kerja uncle i owner kilang perabot bandar tek cakap u owner meh kasi tips sikit la u kaya astu gelak je kiwak la tip,negative,,
@bangherwin Bayangkan rantai penjualan Pertamina makanya mahal Pertamina import ini saja sdh makan biaya operasional yg tinggi sewa kapal tanker dll Nyampe Indonesia base fuel nya mo dijual lg ke swasta dgn catatan ethanol 3 5% Ditawari pembangunan kilang minya nolak,@bangherwin bayangkan rantai penjualan pertamina makanya mahal pertamina import ini saja sdh makan biaya operasional yg tinggi sewa kapal tanker dll nyampe indonesia base fuel nya mo dijual lg ke swasta dgn catatan ethanol 3 5% ditawari pembangunan kilang minya nolak,bayang rantai jual pertamina mahal pertamina import makan biaya operasional sewa kapal tanker nyampe indonesia base fuel nya mo jual lg swasta catat ethanol tawar bangun kilang mi nolak,negative,,
@susipudjiastuti Pencampuran memang bsa up RON tpi energinya akan trun skitar 30% sehingga lbh boros BBM 30% &amp; biaya etanol jg lbih mahal. Inikah yg disebut efisiensi? Cara kerja yang buruk sehrsnya upgrade kilang spy bisa hasilkan langsung RON 92 tanpa campuran etanol.,@susipudjiastuti pencampuran memang bsa up ron tpi energinya akan trun skitar 30% sehingga lbh boros bbm 30% &amp; biaya etanol jg lbih mahal. inikah yg disebut efisiensi? cara kerja yang buruk sehrsnya upgrade kilang spy bisa hasilkan langsung ron 92 tanpa campuran etanol.,campur bsa up ron tpi energi turun skitar lbh boros bahan bakar minyak amp biaya etanol lbih mahal efisiensi kerja buruk sehrsnya upgrade kilang spy hasil langsung ron campur etanol,negative,,
Kilang Proton Shah Alam rasmi ditutup pindah operasi ke Tanjong Malim https://t.co/uBBGZPOY5l,kilang proton shah alam rasmi ditutup pindah operasi ke tanjong malim https://t.co/ubbgzpoy5l,kilang proton shah alam rasmi tutup pindah operasi tanjong malim,neutral,,
Apa khabar kilang Proton Shah Alam setelah 40 tahun? #proton #Automotive https://t.co/H7AEkEGWZV,apa khabar kilang proton shah alam setelah 40 tahun? #proton #automotive https://t.co/h7aekegwzv,khabar kilang proton shah alam proton automotive,neutral,,
Kilang Proton Shah Alam Ditutup Selepas 40 Tahun 1 400 Pekerja Dipindah Ke Tanjong Malim https://t.co/fXURA969kx,kilang proton shah alam ditutup selepas 40 tahun 1 400 pekerja dipindah ke tanjong malim https://t.co/fxura969kx,kilang proton shah alam tutup lepas kerja pindah tanjong malim,neutral,,
Kilang Proton Shah Alam Ditutup Selepas 40 Tahun 1 400 Pekerja Dipindah Ke Tanjong Malim https://t.co/rsERpJx8TR,kilang proton shah alam ditutup selepas 40 tahun 1 400 pekerja dipindah ke tanjong malim https://t.co/rserpjx8tr,kilang proton shah alam tutup lepas kerja pindah tanjong malim,neutral,,
Masih galau mau berangkat pake apa... Kalau naik kereta aku sendiri transit di malang kilang kileng ga ada ajak ngorte,masih galau mau berangkat pake apa... kalau naik kereta aku sendiri transit di malang kilang kileng ga ada ajak ngorte,galau berangkat pake kereta transit malang kilang kileng ajak ngorte,neutral,,
@artiswtic Di Reffinery Oil and Gas aja yg namanya Ethanol SOx NOx H2S harus di hilangin karena bikin rusak peralatan kilang yg sebabkan Internal Corrosion Crack... Kanapa skrg diwajibkan... Akal akalan orang bodoh biar bisa terus terusan impor dan ga mau bangun kilang...,@artiswtic di reffinery oil and gas aja yg namanya ethanol sox nox h2s harus di hilangin karena bikin rusak peralatan kilang yg sebabkan internal corrosion crack... kanapa skrg diwajibkan... akal akalan orang bodoh biar bisa terus terusan impor dan ga mau bangun kilang...,reffinery oil and gas aja nama ethanol sox nox h s hilangin bikin rusak alat kilang sebab internal corrosion crack kanapa wajib akal akal orang bodoh biar terus impor bangun kilang,negative,,
4. Apa nama proyek yang memasok gas untuk kebutuhan dalam negeri di Kalimantan Timur dan mengolah sisanya menjadi LNG di Kilang Badak? --------------------------------------- 5 orang dengan jawaban paling cepat tepat dan keren bakal dapet saldo e-wallet!,4. apa nama proyek yang memasok gas untuk kebutuhan dalam negeri di kalimantan timur dan mengolah sisanya menjadi lng di kilang badak? --------------------------------------- 5 orang dengan jawaban paling cepat tepat dan keren bakal dapet saldo e-wallet!,nama proyek pasok gas butuh negeri kalimantan timur olah sisa lng kilang badak orang cepat keren dapet saldo e wallet,neutral,,
@LexWu_13 Dan gak ributin kilang yang hampir tiap tahunnya dibakar,@lexwu_13 dan gak ributin kilang yang hampir tiap tahunnya dibakar,ributin kilang tahun bakar,negative,,
Lapor Diri adalah hak dan kewajiban kita. Mari jadikan ini sebagai kebiasaan yang melindungi! Terima kasih kepada semua kilang yang telah berpartisipasi dan menyambut baik kegiatan ini. KJRI Penang siap melayani dan melindungi WNI di Malaysia! ️,lapor diri adalah hak dan kewajiban kita. mari jadikan ini sebagai kebiasaan yang melindungi! terima kasih kepada semua kilang yang telah berpartisipasi dan menyambut baik kegiatan ini. kjri penang siap melayani dan melindungi wni di malaysia! ️,lapor hak wajib jadi biasa lindung terima kasih kilang partisipasi sambut giat kjri nang layan lindung wni malaysia,positive,,
Silahkan dibaca saja penjelasan Dari @grok tentang Kandungan ethanol dalam larutan BBM Kilang yang direkomendasikan oleh Kementerian ESDM #hening,silahkan dibaca saja penjelasan dari @grok tentang kandungan ethanol dalam larutan bbm kilang yang direkomendasikan oleh kementerian esdm #hening,silah baca jelas kandung ethanol larut bahan bakar minyak kilang rekomendasi menteri energi dan sumber daya mineral hening,neutral,,
Gak Pernah Bosan Kasih Tau Ini Kalau Moisturizer Gel ini penyelamat kulit berminyakku Dulu aku sering skip moist karna takut muka makin kilang minyak tapi setelah ketemu Skin1004 gak takut lagi dong meski di tengah siang hari https://t.co/qIXc62AAOj,gak pernah bosan kasih tau ini kalau moisturizer gel ini penyelamat kulit berminyakku dulu aku sering skip moist karna takut muka makin kilang minyak tapi setelah ketemu skin1004 gak takut lagi dong meski di tengah siang hari https://t.co/qixc62aaoj,bosan kasih tau moisturizer gel selamat kulit minyak skip moist takut muka kilang minyak ketemu skin takut siang,neutral,,
@randomable_ gak banyak impor ya bangun kilang lah seperti kata pak purbaya pertamina aja males,@randomable_ gak banyak impor ya bangun kilang lah seperti kata pak purbaya pertamina aja males,impor bangun kilang purbaya pertamina aja males,negative,,
Pertalite merupakan produk bensin RON 90 yang berasal dari hasil pencampuran komponen hidrokarbon eks kilang (gasoline base) bukan dari bioetanol #pertaminapatraniaga #pertalite #bbm #etanol #spbu #petrominer https://t.co/zFCLuDlAO8 https://t.co/FrkkadSBBS,pertalite merupakan produk bensin ron 90 yang berasal dari hasil pencampuran komponen hidrokarbon eks kilang (gasoline base) bukan dari bioetanol #pertaminapatraniaga #pertalite #bbm #etanol #spbu #petrominer https://t.co/zfcludlao8 https://t.co/frkkadsbbs,pertalite produk bensin ron asal hasil campur komponen hidrokarbon eks kilang gasoline base bioetanol pertaminapatraniaga pertalite bahan bakar minyak etanol stasiun isi bahan bakar umum petrominer,neutral,,
@txtdrimedia Aku gatau ini bahlil kesalahan berpikir atau emang strategi ngeles aja buat pertamina stelah kemarin di singgung menkeu terkait kilang minyak yang harusnya ditambah tapi malah banyak yang dibakar (agar seolah2 kapasitas produksi pertamina gacukup) sehingga ada alesan buat impor,@txtdrimedia aku gatau ini bahlil kesalahan berpikir atau emang strategi ngeles aja buat pertamina stelah kemarin di singgung menkeu terkait kilang minyak yang harusnya ditambah tapi malah banyak yang dibakar (agar seolah2 kapasitas produksi pertamina gacukup) sehingga ada alesan buat impor,gatau bahlil salah pikir emang strategi ngeles aja pertamina stelah kemarin singgung menkeu kait kilang minyak tambah bakar kapasitas produksi pertamina gacukup alesan impor,negative,,
@_nayanikaa_ sumpah bedak tabur somethinc emang gong dimukaku yg kilang minyak ini mantep ,@_nayanikaa_ sumpah bedak tabur somethinc emang gong dimukaku yg kilang minyak ini mantep ,sumpah bedak tabur somethinc emang gong muka kilang minyak mantep,positive,,
@langitktujuh @susipudjiastuti tujuan jangka panjangnya ini akan bagus pemerintah membuat kilang baru dan yg di impor bukan BBM lagi tapi crude oilnya saat ini impornya BBM jadi ini merugikan industri dalam negeri nah ini yg disinggung menkeu yg baru silahkan cek tayangannya di YT smg terealiasi,@langitktujuh @susipudjiastuti tujuan jangka panjangnya ini akan bagus pemerintah membuat kilang baru dan yg di impor bukan bbm lagi tapi crude oilnya saat ini impornya bbm jadi ini merugikan industri dalam negeri nah ini yg disinggung menkeu yg baru silahkan cek tayangannya di yt smg terealiasi,tuju jangka panjang bagus perintah kilang impor bahan bakar minyak crude oilnya impor bahan bakar minyak rugi industri negeri singgung menkeu silah cek tayang yt smg terealiasi,positive,,
@randomable_ Trik @prabowo agar mobil dan motor cepat rusak dan rakyat kerja keras lagi utk dapat pajak nya...sementara kilang minyak DIBAKAR supaya bisa impor dan dapat cuan lagi dari para mafia minyak...OKE,@randomable_ trik @prabowo agar mobil dan motor cepat rusak dan rakyat kerja keras lagi utk dapat pajak nya...sementara kilang minyak dibakar supaya bisa impor dan dapat cuan lagi dari para mafia minyak...oke,trik mobil motor cepat rusak rakyat kerja keras pajak nya kilang minyak bakar impor cuan mafia minyak,negative,,
@Mundzir0892 Kalo dr berita pertamina malas bikin kilang baru Kan yg kerja sama dengan rusia ketunda akibat perang entah lah mungkin gk semudah itu buat kilang(?) Atau cara begitu jd lahan buat korup Entahlahhhhhhhhh patut dipertanyakan memang,@mundzir0892 kalo dr berita pertamina malas bikin kilang baru kan yg kerja sama dengan rusia ketunda akibat perang entah lah mungkin gk semudah itu buat kilang(?) atau cara begitu jd lahan buat korup entahlahhhhhhhhh patut dipertanyakan memang,berita pertamina malas bikin kilang kerja rusia tunda akibat perang mudah kilang lahan korup patut,negative,,
Kita TELANJANGI... si Bahlul 1. Struktur Impor Migas Indonesia Impor migas Indonesia terbagi dua kategori besar: ️Crude oil (minyak mentah): untuk diolah di kilang dalam negeri (Pertamina dan swasta). ️Refined products (BBM jadi): seperti Pertalite Pertamax Solar https://t.co/Mms5ci0eBc,kita telanjangi... si bahlul 1. struktur impor migas indonesia impor migas indonesia terbagi dua kategori besar: ️crude oil (minyak mentah): untuk diolah di kilang dalam negeri (pertamina dan swasta). ️refined products (bbm jadi): seperti pertalite pertamax solar https://t.co/mms5ci0ebc,telanjang si bahlul struktur impor migas indonesia impor migas indonesia bagi kategori crude oil minyak mentah olah kilang negeri pertamina swasta refined products bahan bakar minyak pertalite pertamax solar,negative,,
@ARSIPAJA Padahal minyak bumi melimpah ngapain impor? Tinggal bikin kilang,@arsipaja padahal minyak bumi melimpah ngapain impor? tinggal bikin kilang,minyak bumi limpah ngapain impor tinggal bikin kilang,negative,,
kuncinya di kapasitas/jumlah kilang sihh yang mumpuni,kuncinya di kapasitas/jumlah kilang sihh yang mumpuni,kunci kapasitas kilang sihh mumpuni,positive,,
SPBU Swasta Didorong Bangun Kilang di Indonesia untuk Jaga Pasokan https://t.co/G8ii83QoLJ,spbu swasta didorong bangun kilang di indonesia untuk jaga pasokan https://t.co/g8ii83qolj,stasiun isi bahan bakar umum swasta dorong bangun kilang indonesia jaga pasok,neutral,,
@artiswtic Bukannya biar tidak impor perbanyak kilang ?,@artiswtic bukannya biar tidak impor perbanyak kilang ?,biar impor banyak kilang,negative,,
@randomable_ Gw mau buka kilang pembersihan bbm kali ya. Gw pisahin komposisinya bensinnya gw jual murni etanolnya gw jual jadiin miras dan antiseptik.,@randomable_ gw mau buka kilang pembersihan bbm kali ya. gw pisahin komposisinya bensinnya gw jual murni etanolnya gw jual jadiin miras dan antiseptik.,buka kilang bersih bahan bakar minyak kali pisahin komposisi bensin jual murni etanol jual jadiin miras antiseptik,negative,,
Saya tanya kepada @grok benarkah BBM Kilang Wajib di campur dengan ethanol atau batas berapa prosentase yang diijinkan untuk bisa masuk kedalam standar Euro #hening,saya tanya kepada @grok benarkah bbm kilang wajib di campur dengan ethanol atau batas berapa prosentase yang diijinkan untuk bisa masuk kedalam standar euro #hening,bahan bakar minyak kilang wajib campur ethanol batas prosentase diijinkan masuk dalam standar euro hening,neutral,,
@Theroadinpursue @artiswtic Jangan dibilang begitu ntar ada kilang yg kebakar lg,@theroadinpursue @artiswtic jangan dibilang begitu ntar ada kilang yg kebakar lg,bilang ntar kilang bakar lg,negative,,
@korbanbanisrael @LembagaKERIS Objek vital negara ini bahkan belum perangpun gagal di aman kan kilang pertamina kobong banyak percuma ngegaji yg cokl*t dan lor*ng ‍️‍️‍️,@korbanbanisrael @lembagakeris objek vital negara ini bahkan belum perangpun gagal di aman kan kilang pertamina kobong banyak percuma ngegaji yg cokl*t dan lor*ng ‍️‍️‍️,objek vital negara perang gagal aman kilang pertamina kobong ngegaji cokl t lor ng,negative,,
@randomable_ agar ga banyak impor yang BIKIN KILANG SENDIRI BAHLILLLLLL,@randomable_ agar ga banyak impor yang bikin kilang sendiri bahlillllll,impor bikin kilang bahlil,negative,,
@ImaginarySteady Terus waktu Ahok di Pertamina memangnya kilang tersebut dibangun?,@imaginarysteady terus waktu ahok di pertamina memangnya kilang tersebut dibangun?,ahok pertamina memang kilang bangun,positive,,
@JambuBiji08 gimana mau buka kilang baru kemaren aja kilangnya ada yang meledak,@jambubiji08 gimana mau buka kilang baru kemaren aja kilangnya ada yang meledak,buka kilang kemaren aja kilang ledak,negative,,
@ARSIPAJA PALA BAPAK KAU ANJINK YG TIDAK BANYAK IMPOR. KALAU MAU TDK BNYAK IMPOR YAH NAMBAHIN KILANG MINYAK! BUKAN URUSIN CAMPURAN BENSIN. TUKANG NGIBUL!!! BILANG AJA LO MAU HABISIN SWASTA!! BAJINGAN TENGIK,@arsipaja pala bapak kau anjink yg tidak banyak impor. kalau mau tdk bnyak impor yah nambahin kilang minyak! bukan urusin campuran bensin. tukang ngibul!!! bilang aja lo mau habisin swasta!! bajingan tengik,pala kau anjink impor bnyak impor yah nambahin kilang minyak urusin campur bensin tukang ngibul bilang aja lo habisin swasta bajing tengik,negative,,
alasannya mau nekan impor tapi kenapa harus impor sih? wkkwkww kapasitas produksi rendah gaada kilang baru. padahal kan tinggal buka kilang baru terus gua apply kerja disana pak,alasannya mau nekan impor tapi kenapa harus impor sih? wkkwkww kapasitas produksi rendah gaada kilang baru. padahal kan tinggal buka kilang baru terus gua apply kerja disana pak,alas nekan impor impor sih wkkwkww kapasitas produksi rendah gaada kilang tinggal buka kilang gua apply kerja sana,negative,,
