full_text,case_folding CPMK2,preprocessing CPMK3
@abu_waras kok gak di tag sih @IndiHome @MNCPlayID @BiznetHome Dan ada yg lebih lagi misal @Telkomsel atau @CareIM3 Minta utk bangun kilang minyak di Papua sana Kan lagi mode nuansa #ParadoksIndonesia .,@abu_waras kok gak di tag sih @indihome @mncplayid @biznethome dan ada yg lebih lagi misal @telkomsel atau @careim3 minta utk bangun kilang minyak di papua sana kan lagi mode nuansa #paradoksindonesia .,gak tag sih yg utk bangun kilang minyak papua mode nuansa paradoksindonesia
11 pekerja sesak nafas pedih mata akibat tumpahan bahan kimia di kilang #BHkes Kebocoran berlaku pada sistem paip kira-kira 15 liter bahan kimia tertumpah https://t.co/eFgfMsTv1w,11 pekerja sesak nafas pedih mata akibat tumpahan bahan kimia di kilang #bhkes kebocoran berlaku pada sistem paip kira-kira 15 liter bahan kimia tertumpah https://t.co/efgfmstv1w,kerja sesak nafas pedih mata akibat tumpah bahan kimia kilang bhkes bocor laku sistem paip liter bahan kimia tumpah
23 pekerja kilang sesak nafas terhidu bahan kimia https://t.co/q4wmGLs1j6,23 pekerja kilang sesak nafas terhidu bahan kimia https://t.co/q4wmgls1j6,kerja kilang sesak nafas hidu bahan kimia
Pertamina janji perkuat keselamatan dan percepat pemulihan agar pasokan energi tetap stabil. Baca lebih lanjut melalui link ini : https://t.co/xceoEZje19 https://t.co/FH2HIv9pCY,pertamina janji perkuat keselamatan dan percepat pemulihan agar pasokan energi tetap stabil. baca lebih lanjut melalui link ini : https://t.co/xceoezje19 https://t.co/fh2hiv9pcy,pertamina janji kuat selamat cepat pulih pasok energi stabil baca link
Kilang Pertamina Dumai terbakar ganggu operasi tapi tak ada korban jiwa. ESDM bentuk tim investigasi. https://t.co/pEERkNlv5U,kilang pertamina dumai terbakar ganggu operasi tapi tak ada korban jiwa. esdm bentuk tim investigasi. https://t.co/peerknlv5u,kilang pertamina dumai bakar ganggu operasi korban jiwa esdm bentuk tim investigasi
@_barindra @innovacommunity Trus Loe samain ama MBG .. MBG itu Dapurnya banyak yg buat juga ada Ribuan menunya beda² Kalau Jenis BBM Pertamina itu dibuat di 1 Kilang u/ Ratusan Ribu SPBU trus loe ngoceh tiba² motor loe mogok sedangkan yg beli di Ribuan SPBU yg lain biasa² saja kan LOL namanya.,@_barindra @innovacommunity trus loe samain ama mbg .. mbg itu dapurnya banyak yg buat juga ada ribuan menunya beda² kalau jenis bbm pertamina itu dibuat di 1 kilang u/ ratusan ribu spbu trus loe ngoceh tiba² motor loe mogok sedangkan yg beli di ribuan spbu yg lain biasa² saja kan lol namanya.,trus loe samain ama mbg mbg dapur yg ribu menu beda jenis bbm pertamina kilang u ratus ribu spbu trus loe ngoceh tiba motor loe mogok yg beli ribu spbu yg biasa lol nama
Patut la dia parking caltex depan kilang aku. Ada agenda israel rupanya. Tau2 je dia bila time minyak aku habis.,patut la dia parking caltex depan kilang aku. ada agenda israel rupanya. tau2 je dia bila time minyak aku habis.,patut la parking caltex kilang agenda israel tau je time minyak habis
@arwidodo Kilang minyak dibangun jaman orba.... Kilang minyak zaman repot nasi mana.... Yg ada korupsi dimana mana,@arwidodo kilang minyak dibangun jaman orba.... kilang minyak zaman repot nasi mana.... yg ada korupsi dimana mana,kilang minyak bangun jaman orba kilang minyak zaman repot nasi yg korupsi
@tanyarlfes Vibe cowok tinder yang ngaku kerja di kilang minyak... Padahal mah buaya ,@tanyarlfes vibe cowok tinder yang ngaku kerja di kilang minyak... padahal mah buaya ,vibe cowok tinder ngaku kerja kilang minyak mah buaya
Lagi satu faktor kilang-kilang Top Glove dah mula beroperasi semula dengan lebih efisien lepas bertahun operate bawah kapasiti.,lagi satu faktor kilang-kilang top glove dah mula beroperasi semula dengan lebih efisien lepas bertahun operate bawah kapasiti.,faktor kilang kilang top glove dah operasi efisien lepas tahun operate kapasiti
Dalam masa sama kos bahan mentah turun. Harga lateks dan nitril masing-masing jatuh sekitar 1% dan 8%. Benda ni penting sebab margin keuntungan pengeluar sarung tangan memang sangat sensitif pada harga bahan mentah dan kadar penggunaan kilang.,dalam masa sama kos bahan mentah turun. harga lateks dan nitril masing-masing jatuh sekitar 1% dan 8%. benda ni penting sebab margin keuntungan pengeluar sarung tangan memang sangat sensitif pada harga bahan mentah dan kadar penggunaan kilang.,kos bahan mentah turun harga lateks nitril jatuh benda ni margin untung keluar sarung tangan sensitif harga bahan mentah kadar guna kilang
Semoga lu mati tenggelem di kilang minyak,semoga lu mati tenggelem di kilang minyak,moga lu mati tenggelem kilang minyak
11 pekerja sesak nafas pedih mata akibat tumpahan bahan kimia di kilang #AWANInews #AWANI745 https://t.co/NKvnA4Iww9,11 pekerja sesak nafas pedih mata akibat tumpahan bahan kimia di kilang #awaninews #awani745 https://t.co/nkvna4iww9,kerja sesak nafas pedih mata akibat tumpah bahan kimia kilang awaninews awan
@KangManto123 sok tahu realita bikin kilang aja gak bisa.,@kangmanto123 sok tahu realita bikin kilang aja gak bisa.,sok realita bikin kilang aja gak
Kerajaan Selangor Melancarkan Inisiatif IEIP Untuk Mengautomasikan Kilang-Kilang Di Negeri Tersebut https://t.co/IIATauQnV3 https://t.co/jj57a1mIDm,kerajaan selangor melancarkan inisiatif ieip untuk mengautomasikan kilang-kilang di negeri tersebut https://t.co/iiatauqnv3 https://t.co/jj57a1midm,raja selangor lancar inisiatif ieip mengautomasikan kilang kilang negeri
@70a34a20214241f @Naz_lira Kilang ga mau bikin krn fee import dan invest vessel pengankut bbm itu msh belum balik modal. Korupsi dan duit haramnya mencegah bikin kilang sendiri,@70a34a20214241f @naz_lira kilang ga mau bikin krn fee import dan invest vessel pengankut bbm itu msh belum balik modal. korupsi dan duit haramnya mencegah bikin kilang sendiri,kilang ga bikin krn fee import invest vessel pengankut bbm msh modal korupsi duit haram cegah bikin kilang
@Dwynna_Win Suruh bikin kilang gak mau mau irit subsidi bbm malah mau mengorbankan rakyat,@dwynna_win suruh bikin kilang gak mau mau irit subsidi bbm malah mau mengorbankan rakyat,suruh bikin kilang gak irit subsidi bbm korban rakyat
@onysylusz Kuy kali ja dpt kilang minyak abis numbalin doi ,@onysylusz kuy kali ja dpt kilang minyak abis numbalin doi ,kuy kali ja dpt kilang minyak abis numbalin doi
@panjisd131 @AdamVelcro Kualitas BBM Indonesia dinilai terburuk di Asia Tenggara karena kadar sulfur masih 500 ppm (standar Euro 2) sementara negara tetangga sudah beralih ke 50 ppm (Euro 4). Penyebabnya: keterlambatan upgrade kilang Pertamina biaya tinggi dan kebijakan pemerintah yang lambat. Ini,@panjisd131 @adamvelcro kualitas bbm indonesia dinilai terburuk di asia tenggara karena kadar sulfur masih 500 ppm (standar euro 2) sementara negara tetangga sudah beralih ke 50 ppm (euro 4). penyebabnya: keterlambatan upgrade kilang pertamina biaya tinggi dan kebijakan pemerintah yang lambat. ini,kualitas bbm indonesia nilai buruk asia tenggara kadar sulfur ppm standar euro negara tetangga alih ppm euro sebab lambat upgrade kilang pertamina biaya bijak perintah lambat
@sarahjustmine Ramai oghang dah kojo kilang Kek pokan Seghomban,@sarahjustmine ramai oghang dah kojo kilang kek pokan seghomban,ramai oghang dah kojo kilang kek pok seghomban
@TamagoPost 𝑸. Hi aku berminat untuk relasi sebagai anggota gank yang mana dalam kisahku aku merupakan model ternama dan seorang anak dari konglomerat di Prancis pemilik perkebunan dan kilang anggur terbesar di eropa.,@tamagopost 𝑸. hi aku berminat untuk relasi sebagai anggota gank yang mana dalam kisahku aku merupakan model ternama dan seorang anak dari konglomerat di prancis pemilik perkebunan dan kilang anggur terbesar di eropa., hi minat relasi anggota gank kisah model nama anak konglomerat prancis milik kebun kilang anggur besar eropa
@Naz_lira Issue lain: kandungan sulfur di bbm pertamina &gt;300ppm(?) jauh di ambang batas euro 4 (10-80ppm). Pertamina ga mau keluar biaya pemurnian bbm dari sulfur karena biaya katalis tinggi dan hasil akhir berkurangnya volume bbm. Apa itu sebab ga mau bikin kilang?,@naz_lira issue lain: kandungan sulfur di bbm pertamina &gt;300ppm(?) jauh di ambang batas euro 4 (10-80ppm). pertamina ga mau keluar biaya pemurnian bbm dari sulfur karena biaya katalis tinggi dan hasil akhir berkurangnya volume bbm. apa itu sebab ga mau bikin kilang?,issue kandung sulfur bbm pertamina gt ppm ambang batas euro ppm pertamina ga biaya murni bbm sulfur biaya katalis hasil kurang volume bbm ga bikin kilang
Pengamat UI Sindir Purbaya: Isu Kilang Dibakar Harusnya Diredam Bukan Malah Dibikin Panik | The Daily Buzz https://t.co/rLObZfs7lS #Purbaya #Bahlil #FerdinandHutahaean #Pertamina,pengamat ui sindir purbaya: isu kilang dibakar harusnya diredam bukan malah dibikin panik | the daily buzz https://t.co/rlobzfs7ls #purbaya #bahlil #ferdinandhutahaean #pertamina,amat ui sindir purbaya isu kilang bakar redam bikin panik the daily buzz purbaya bahlil ferdinandhutahaean pertamina
Sebanyak 11 pekerja sebuah kilang di Bandar Proton City Tanjong Malim kira-kira 133 kilometer dari Ipoh mengalami sesak nafas dan pedih mata selepas terdedah kepada tumpahan bahan kimia jenis isosianat tengah hari tadi. JBPM Perak https://t.co/aEhecSf56E https://t.co/IprrISiK4Z,sebanyak 11 pekerja sebuah kilang di bandar proton city tanjong malim kira-kira 133 kilometer dari ipoh mengalami sesak nafas dan pedih mata selepas terdedah kepada tumpahan bahan kimia jenis isosianat tengah hari tadi. jbpm perak https://t.co/aehecsf56e https://t.co/iprrisik4z,kerja kilang bandar proton city tanjong malim kilometer ipoh alami sesak nafas pedih mata lepas dedah tumpah bahan kimia jenis isosianat jbpm perak
11 pekerja kilang sesak nafas kerana tumpahan kimia https://t.co/zd7PceL4Hd,11 pekerja kilang sesak nafas kerana tumpahan kimia https://t.co/zd7pcel4hd,kerja kilang sesak nafas rana tumpah kimia
JPJ kesan pengusaha bas kilang upah 11 pemandu warga asing Pengarah JPJ Selangor menegaskan warga asing tidak dibenarkan memandu kenderaan perkhidmatan awam #sinarharian #JPJ #WargaAsing #Pemandu https://t.co/wXJTxM5H7g,jpj kesan pengusaha bas kilang upah 11 pemandu warga asing pengarah jpj selangor menegaskan warga asing tidak dibenarkan memandu kenderaan perkhidmatan awam #sinarharian #jpj #wargaasing #pemandu https://t.co/wxjtxm5h7g,jpj kesan usaha bas kilang upah pandu warga asing arah jpj selangor warga asing benar pandu kenderaan khidmat awam sinarharian jpj wargaasing pandu
Sidang perdana kasus dugaan korupsi tata kelola minyak mentah dan produk kilang PT Pertamina (Persero) yang digelar hari ini Kamis (9/10/2025). https://t.co/jdFqduQJxx,sidang perdana kasus dugaan korupsi tata kelola minyak mentah dan produk kilang pt pertamina (persero) yang digelar hari ini kamis (9/10/2025). https://t.co/jdfqduqjxx,sidang perdana duga korupsi tata kelola minyak mentah produk kilang pt pertamina persero gelar kamis
#Perak : Seramai 11 pekerja sebuah kilang di Bandar Proton City Tanjong Malim kira-kira 133 kilometer dari Ipoh mengalami sesak nafas dan pedih mata selepas terdedah kepada tumpahan bahan kimia jenis isosianat tengah hari tadi. Pemangku Penolong Pengarah Operasi Jabatan Bomba https://t.co/a26i3hdVt2,#perak : seramai 11 pekerja sebuah kilang di bandar proton city tanjong malim kira-kira 133 kilometer dari ipoh mengalami sesak nafas dan pedih mata selepas terdedah kepada tumpahan bahan kimia jenis isosianat tengah hari tadi. pemangku penolong pengarah operasi jabatan bomba https://t.co/a26i3hdvt2,perak serama kerja kilang bandar proton city tanjong malim kilometer ipoh alami sesak nafas pedih mata lepas dedah tumpah bahan kimia jenis isosianat mang tolong arah operasi jabat bomba
Pada ga sadar ya kilang terbaru yang beroprasi itu buatan tahun 1998 masih pakai standar Euro2?,pada ga sadar ya kilang terbaru yang beroprasi itu buatan tahun 1998 masih pakai standar euro2?,ga sadar kilang baru beroprasi buat pakai standar euro
Patah pinggang cod 7 kilang hari ni,patah pinggang cod 7 kilang hari ni,patah pinggang cod kilang ni
Kilang nyamuk terbesar dunia dibuka di Brazil #MediaPermata #BeritaBrunei #Dunia #Kilangnyamuk #terbesardunia #dibuka #di #Brazil https://t.co/LLFuwAI2xX,kilang nyamuk terbesar dunia dibuka di brazil #mediapermata #beritabrunei #dunia #kilangnyamuk #terbesardunia #dibuka #di #brazil https://t.co/llfuwai2xx,kilang nyamuk besar dunia buka brazil mediapermata beritabrunei dunia kilangnyamuk terbesardunia buka brazil
#Shahalam Sejumlah 13 805 kesalahan direkodkan pada Ops Khas Gempur Kenderaan Perdagangan oleh JPJ Selangor. https://t.co/EKhxfKYauf,#shahalam sejumlah 13 805 kesalahan direkodkan pada ops khas gempur kenderaan perdagangan oleh jpj selangor. https://t.co/ekhxfkyauf,shahalam salah direkodkan ops khas gempur kenderaan dagang jpj selangor
@mardigu024 Makanya punya kilang minyak dijaga udah jumlahnya cuma sedikit kebakaran terus️️ giliran stock menipis ketar - ketir main oplos rakyat lagi yang boncos harus menelan resiko kendaraan sering mogok.,@mardigu024 makanya punya kilang minyak dijaga udah jumlahnya cuma sedikit kebakaran terus️️ giliran stock menipis ketar - ketir main oplos rakyat lagi yang boncos harus menelan resiko kendaraan sering mogok.,kilang minyak jaga udah bakar gilir stock tip ketar tir main oplos rakyat boncos tel resiko kendara mogok
anda bertanggungjawab ~ membina kilang pemprosesan minyak mentah~ yang menghasilkan petrol~ diesel~ etanol~ methane~ LPG~ biji plastic~ minyak tar@ membuat jalan~ menganalisis pemintaan &amp; penawaran didalam negeri~ harga &amp; bekalan~ jangan ada sesiapa menekan anda~ atau anda mndur https://t.co/xCmQ89T6sW,anda bertanggungjawab ~ membina kilang pemprosesan minyak mentah~ yang menghasilkan petrol~ diesel~ etanol~ methane~ lpg~ biji plastic~ minyak tar@ membuat jalan~ menganalisis pemintaan &amp; penawaran didalam negeri~ harga &amp; bekalan~ jangan ada sesiapa menekan anda~ atau anda mndur https://t.co/xcmq89t6sw,bertanggungjawab bina kilang pemprosesan minyak mentah hasil petrol diesel etanol methane lpg biji plastic minyak tar jalan analis minta amp tawar dalam negeri harga amp bekal siapa tekan mndur
Makanya punya kilang minyak dijaga udah jumlahnya cuma sedikit kebakaran terus. giliran stock menipis main oplos ga sesuai standar dunia.,makanya punya kilang minyak dijaga udah jumlahnya cuma sedikit kebakaran terus. giliran stock menipis main oplos ga sesuai standar dunia.,kilang minyak jaga udah bakar gilir stock tip main oplos ga sesuai standar dunia
Pertamina Rampungkan Pembangunan Dua Tangki Kilang Lawe-lawe Berkapasitas 2 Juta Barel https://t.co/qiOnVIYV7D,pertamina rampungkan pembangunan dua tangki kilang lawe-lawe berkapasitas 2 juta barel https://t.co/qionviyv7d,pertamina rampung bangun tangki kilang lawe lawe kapasitas juta barel
11 pekerja sesak nafas bahan kimia tumpah di kilang https://t.co/qh9jwNLaQ6,11 pekerja sesak nafas bahan kimia tumpah di kilang https://t.co/qh9jwnlaq6,kerja sesak nafas bahan kimia tumpah kilang
Seramai 11 pekerja mengalami sesak nafas dan pedih mata selepas berlaku kebocoran bahan kimia berbahaya di sebuah kilang di sini pada Khamis. https://t.co/99Sk7Ed1U2 #sesaknafas #kebocorankimia #kilang #mediatelus,seramai 11 pekerja mengalami sesak nafas dan pedih mata selepas berlaku kebocoran bahan kimia berbahaya di sebuah kilang di sini pada khamis. https://t.co/99sk7ed1u2 #sesaknafas #kebocorankimia #kilang #mediatelus,serama kerja alami sesak nafas pedih mata lepas laku bocor bahan kimia bahaya kilang khamis sesaknafas kebocorankimia kilang mediatelus
@toe_giman Walaupun diupgrade @pertamina kilang ini kilang itu katanya Over Kapasitas dgn kualitas RON ini itu Tetap aja Rugi padahal Harga export krud oil sangat murah lalu Pembelian (import) dari Singapure lebih mahal dan di jualnya Ke Rakyat Paling Mahal..? kan Bangsat https://t.co/7eRt4cRPGi,@toe_giman walaupun diupgrade @pertamina kilang ini kilang itu katanya over kapasitas dgn kualitas ron ini itu tetap aja rugi padahal harga export krud oil sangat murah lalu pembelian (import) dari singapure lebih mahal dan di jualnya ke rakyat paling mahal..? kan bangsat https://t.co/7ert4crpgi,diupgrade kilang kilang over kapasitas dgn kualitas ron aja rugi harga export krud oil murah beli import singapure mahal jual rakyat mahal bangsat
11 pekerja cedera akibat tumpahan bahan kimia di kilang https://t.co/s7i7xg8cPY,11 pekerja cedera akibat tumpahan bahan kimia di kilang https://t.co/s7i7xg8cpy,kerja cedera akibat tumpah bahan kimia kilang
Mr lee suruh beli kilang dia 4.5juta ,mr lee suruh beli kilang dia 4.5juta ,mr lee suruh beli kilang juta
@cnbcindonesia gaya mu cuy bicara potensi potensi ke niat aje nge bangun noh lihat si kunyuk bahlil malah tersinggung saat dikomentarai pertamina gax mau bangun kilang Bubarkan Golkar korupsi turun sikitlah ,@cnbcindonesia gaya mu cuy bicara potensi potensi ke niat aje nge bangun noh lihat si kunyuk bahlil malah tersinggung saat dikomentarai pertamina gax mau bangun kilang bubarkan golkar korupsi turun sikitlah ,gaya mu cuy bicara potensi potensi niat aje nge bangun noh lihat si kunyuk bahlil singgung dikomentarai pertamina gax bangun kilang bubar golkar korupsi turun sikit
@leo_divnd Suara lu kayak kilang minyak yg mbeledos,@leo_divnd suara lu kayak kilang minyak yg mbeledos,suara lu kayak kilang minyak yg mbeledos
Tumpahan kimia di kilang 11 pekerja alami sesak nafas Semua mangsa yang cedera telah dihantar ke klinik berhampiran sebelum pasukan bomba tiba di lokasi https://t.co/Sz0WehHd47 #SinarHarian #beritaterkini #tumpahankimia #sesaknafas,tumpahan kimia di kilang 11 pekerja alami sesak nafas semua mangsa yang cedera telah dihantar ke klinik berhampiran sebelum pasukan bomba tiba di lokasi https://t.co/sz0wehhd47 #sinarharian #beritaterkini #tumpahankimia #sesaknafas,tumpah kimia kilang kerja alami sesak nafas mangsa cedera hantar klinik hampir pasu bomba lokasi sinarharian beritaterkini tumpahankimia sesaknafas
@shda_agatha_ dan Paksa SHELL CHEVRON VIVO dll Bangun Kilang Sendiri di Indonesia.,@shda_agatha_ dan paksa shell chevron vivo dll bangun kilang sendiri di indonesia.,paksa shell chevron vivo bangun kilang indonesia
@ARSIPAJA Pertamina kapan bikin kilang?,@arsipaja pertamina kapan bikin kilang?,pertamina bikin kilang
aku cakap ah gaji takbesar cukup2 makan saja. u kerja apa uncle? dia jawab i owner kilang perabot sana bandar tek. aku cakap lagi u owner meh? kasi tips banyak sikit la. u lagi kaya. astu dia gelak je. kiwak bagi la tip,aku cakap ah gaji takbesar cukup2 makan saja. u kerja apa uncle? dia jawab i owner kilang perabot sana bandar tek. aku cakap lagi u owner meh? kasi tips banyak sikit la. u lagi kaya. astu dia gelak je. kiwak bagi la tip,cakap ah gaji takbesar makan u kerja uncle i owner kilang perabot bandar tek cakap u owner meh kasi tips sikit la u kaya astu gelak je kiwak la tip
@bangherwin Bayangkan rantai penjualan Pertamina makanya mahal Pertamina import ini saja sdh makan biaya operasional yg tinggi sewa kapal tanker dll Nyampe Indonesia base fuel nya mo dijual lg ke swasta dgn catatan ethanol 3 5% Ditawari pembangunan kilang minya nolak,@bangherwin bayangkan rantai penjualan pertamina makanya mahal pertamina import ini saja sdh makan biaya operasional yg tinggi sewa kapal tanker dll nyampe indonesia base fuel nya mo dijual lg ke swasta dgn catatan ethanol 3 5% ditawari pembangunan kilang minya nolak,bayang rantai jual pertamina mahal pertamina import sdh makan biaya operasional yg sewa kapal tanker nyampe indonesia base fuel nya mo jual lg swasta dgn catat ethanol tawar bangun kilang mi nolak
Tahniah dan Syabas kepada YB @rafiziramli melalui Program Inisiatif Pendapatan Rakyat (IPR-Insan) Usahawan Makanan membantu peserta golongan B40 dan kebawah dan pekerja kilang (FMM) dengan memaparkan idea menetapkan Mesin Layan Diri..#IPRINSAN#PulauPinang https://t.co/2k0aHawF9M,tahniah dan syabas kepada yb @rafiziramli melalui program inisiatif pendapatan rakyat (ipr-insan) usahawan makanan membantu peserta golongan b40 dan kebawah dan pekerja kilang (fmm) dengan memaparkan idea menetapkan mesin layan diri..#iprinsan#pulaupinang https://t.co/2k0ahawf9m,tahniah syabas yb program inisiatif dapat rakyat ipr insan usahawan makan bantu serta golong b bawah kerja kilang fmm papar idea tetap mesin layan iprinsan pulaupinang
